"group_displayname","user_nickname","user_info","content","content_type","robot_id","robot_displayname","user_signature","time","region","city"
"Wilson_大数据分析行业","永远的靠山","[{""Sex"": 1, ""Uin"": 0, ""City"": ""成都"", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": """", ""SnsFlag"": 145, ""Statues"": 0, ""NickName"": ""永远的靠山"", ""OwnerUin"": 0, ""Province"": ""四川"", ""UserName"": ""@7bb11f84b03e523f715a4e6d12fb76ea39783fb3cd4958be014a52f03e41a925"", ""PYInitial"": ""YYDKS"", ""PYQuanPin"": ""yongyuandekaoshan"", ""Signature"": ""丰富自己，组装自己！"", ""UniFriend"": 0, ""AttrStatus"": 4296807, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=0&username=@7bb11f84b03e523f715a4e6d12fb76ea39783fb3cd4958be014a52f03e41a925&chatroomid=@076428b115c68c0b900620875a16d936&skey="", ""MemberList"": [], ""RemarkName"": """", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 0, ""DisplayName"": """", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@076428b115c68c0b900620875a16d936"", ""RemarkPYInitial"": """", ""RemarkPYQuanPin"": """", ""HideInputBarFlag"": 0}]","全世界聪明人都在玩的游戏，快来试试！","Sharing",NULL,NULL,NULL,"1524589868",NULL,NULL
"Wilson_我的测试群","诚实的人","[{""Sex"": 2, ""Uin"": 0, ""City"": """", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": """", ""SnsFlag"": 1, ""Statues"": 0, ""NickName"": ""诚实的人"", ""OwnerUin"": 0, ""Province"": ""London"", ""UserName"": ""@62e3823c8f8cc7bb4cb17a86c415599285d7ae2f7e7c1b1495f31c526f241a16"", ""PYInitial"": ""CSDR"", ""PYQuanPin"": ""chengshideren"", ""Signature"": ""美瞳正品代购。假的我吃"", ""UniFriend"": 0, ""AttrStatus"": 33787941, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=666386380&username=@62e3823c8f8cc7bb4cb17a86c415599285d7ae2f7e7c1b1495f31c526f241a16&skey="", ""MemberList"": [], ""RemarkName"": ""1-17065687-诚实的人"", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 3, ""DisplayName"": """", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@aa17d1eefa24b9776453d1b13f67d22c"", ""RemarkPYInitial"": ""117065687CSDR"", ""RemarkPYQuanPin"": ""117065687chengshideren"", ""HideInputBarFlag"": 0}]","交叉口呵呵呵","Text","Jenny test",NULL,NULL,"1524595173",NULL,NULL
"Wilson_netshaker","Iris, NetShaker, Founder","[{""Sex"": 2, ""Uin"": 0, ""City"": """", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": """", ""SnsFlag"": 49, ""Statues"": 0, ""NickName"": ""Irissssss"", ""OwnerUin"": 0, ""Province"": """", ""UserName"": ""@061efd1171a4ef3d249d5599e5b324b628374c87f4a7842159ce8f8558940aad"", ""PYInitial"": ""IRISSSSSS"", ""PYQuanPin"": ""Irissssss"", ""Signature"": ""好友邀请请注明添加理由"", ""UniFriend"": 0, ""AttrStatus"": 101027877, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=0&username=@061efd1171a4ef3d249d5599e5b324b628374c87f4a7842159ce8f8558940aad&chatroomid=@8607289cd75e59046f495527761625d4&skey="", ""MemberList"": [], ""RemarkName"": """", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 0, ""DisplayName"": ""Iris, NetShaker, Founder"", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@8607289cd75e59046f495527761625d4"", ""RemarkPYInitial"": """", ""RemarkPYQuanPin"": """", ""HideInputBarFlag"": 0}]","欢迎新人","Text","Jenny 3@ masterqun.com",NULL,NULL,"1524595947",NULL,NULL
"Wilson_netshaker","Iris, NetShaker, Founder","[{""Sex"": 2, ""Uin"": 0, ""City"": """", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": """", ""SnsFlag"": 49, ""Statues"": 0, ""NickName"": ""Irissssss"", ""OwnerUin"": 0, ""Province"": """", ""UserName"": ""@061efd1171a4ef3d249d5599e5b324b628374c87f4a7842159ce8f8558940aad"", ""PYInitial"": ""IRISSSSSS"", ""PYQuanPin"": ""Irissssss"", ""Signature"": ""好友邀请请注明添加理由"", ""UniFriend"": 0, ""AttrStatus"": 101027877, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=0&username=@061efd1171a4ef3d249d5599e5b324b628374c87f4a7842159ce8f8558940aad&chatroomid=@8607289cd75e59046f495527761625d4&skey="", ""MemberList"": [], ""RemarkName"": """", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 0, ""DisplayName"": ""Iris, NetShaker, Founder"", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@8607289cd75e59046f495527761625d4"", ""RemarkPYInitial"": """", ""RemarkPYQuanPin"": """", ""HideInputBarFlag"": 0}]","本群用来分享工作 内部推荐 禁广告 不建议刷屏","Text","Jenny 3@ masterqun.com",NULL,NULL,"1524595983",NULL,NULL
"Wilson_netshaker","海伦Helen","[{""Sex"": 2, ""Uin"": 0, ""City"": """", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": ""hel"", ""SnsFlag"": 177, ""Statues"": 0, ""NickName"": ""海伦Helen"", ""OwnerUin"": 0, ""Province"": """", ""UserName"": ""@1005a56c91c9fa882bf40ff54f18697c"", ""PYInitial"": ""HLHELEN"", ""PYQuanPin"": ""hailunHelen"", ""Signature"": ""红尘做伴，潇潇洒洒"", ""UniFriend"": 0, ""AttrStatus"": 67182757, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=0&username=@1005a56c91c9fa882bf40ff54f18697c&chatroomid=@8607289cd75e59046f495527761625d4&skey="", ""MemberList"": [], ""RemarkName"": """", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 0, ""DisplayName"": """", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@8607289cd75e59046f495527761625d4"", ""RemarkPYInitial"": """", ""RemarkPYQuanPin"": """", ""HideInputBarFlag"": 0}]","[玫瑰][玫瑰]有好职位带过来 ","Text","Jenny 3@ masterqun.com",NULL,NULL,"1524595990",NULL,NULL
"Wilson_netshaker","海伦Helen","[{""Sex"": 2, ""Uin"": 0, ""City"": """", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": ""hel"", ""SnsFlag"": 177, ""Statues"": 0, ""NickName"": ""海伦Helen"", ""OwnerUin"": 0, ""Province"": """", ""UserName"": ""@1005a56c91c9fa882bf40ff54f18697c"", ""PYInitial"": ""HLHELEN"", ""PYQuanPin"": ""hailunHelen"", ""Signature"": ""红尘做伴，潇潇洒洒"", ""UniFriend"": 0, ""AttrStatus"": 67182757, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=0&username=@1005a56c91c9fa882bf40ff54f18697c&chatroomid=@8607289cd75e59046f495527761625d4&skey="", ""MemberList"": [], ""RemarkName"": """", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 0, ""DisplayName"": """", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@8607289cd75e59046f495527761625d4"", ""RemarkPYInitial"": """", ""RemarkPYQuanPin"": """", ""HideInputBarFlag"": 0}]","谢谢Iris ","Text","Jenny 3@ masterqun.com",NULL,NULL,"1524595996",NULL,NULL
"Wilson_netshaker","海伦Helen","[{""Sex"": 2, ""Uin"": 0, ""City"": """", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": ""hel"", ""SnsFlag"": 177, ""Statues"": 0, ""NickName"": ""海伦Helen"", ""OwnerUin"": 0, ""Province"": """", ""UserName"": ""@1005a56c91c9fa882bf40ff54f18697c"", ""PYInitial"": ""HLHELEN"", ""PYQuanPin"": ""hailunHelen"", ""Signature"": ""红尘做伴，潇潇洒洒"", ""UniFriend"": 0, ""AttrStatus"": 67182757, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=0&username=@1005a56c91c9fa882bf40ff54f18697c&chatroomid=@8607289cd75e59046f495527761625d4&skey="", ""MemberList"": [], ""RemarkName"": """", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 0, ""DisplayName"": """", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@8607289cd75e59046f495527761625d4"", ""RemarkPYInitial"": """", ""RemarkPYQuanPin"": """", ""HideInputBarFlag"": 0}]","1","Picture","Jenny 3@ masterqun.com",NULL,NULL,"1524596003",NULL,NULL
"Wilson_netshaker","海伦Helen","[{""Sex"": 2, ""Uin"": 0, ""City"": """", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": ""hel"", ""SnsFlag"": 177, ""Statues"": 0, ""NickName"": ""海伦Helen"", ""OwnerUin"": 0, ""Province"": """", ""UserName"": ""@1005a56c91c9fa882bf40ff54f18697c"", ""PYInitial"": ""HLHELEN"", ""PYQuanPin"": ""hailunHelen"", ""Signature"": ""红尘做伴，潇潇洒洒"", ""UniFriend"": 0, ""AttrStatus"": 67182757, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=0&username=@1005a56c91c9fa882bf40ff54f18697c&chatroomid=@8607289cd75e59046f495527761625d4&skey="", ""MemberList"": [], ""RemarkName"": """", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 0, ""DisplayName"": """", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@8607289cd75e59046f495527761625d4"", ""RemarkPYInitial"": """", ""RemarkPYQuanPin"": """", ""HideInputBarFlag"": 0}]","【帮转急招】一个基金管理公司急招一位Accountant Administrator，很适合刚有一点点经验并想找长期稳定工作的学会计/金融的职场新手。薪资待遇还可以，感兴趣请发简历到helensonghr@gmail.com","Text","Jenny 3@ masterqun.com",NULL,NULL,"1524596009",NULL,NULL
"Wilson_netshaker","Iris, NetShaker, Founder","[{""Sex"": 2, ""Uin"": 0, ""City"": """", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": """", ""SnsFlag"": 49, ""Statues"": 0, ""NickName"": ""Irissssss"", ""OwnerUin"": 0, ""Province"": """", ""UserName"": ""@061efd1171a4ef3d249d5599e5b324b628374c87f4a7842159ce8f8558940aad"", ""PYInitial"": ""IRISSSSSS"", ""PYQuanPin"": ""Irissssss"", ""Signature"": ""好友邀请请注明添加理由"", ""UniFriend"": 0, ""AttrStatus"": 101027877, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=0&username=@061efd1171a4ef3d249d5599e5b324b628374c87f4a7842159ce8f8558940aad&chatroomid=@8607289cd75e59046f495527761625d4&skey="", ""MemberList"": [], ""RemarkName"": """", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 0, ""DisplayName"": ""Iris, NetShaker, Founder"", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@8607289cd75e59046f495527761625d4"", ""RemarkPYInitial"": """", ""RemarkPYQuanPin"": """", ""HideInputBarFlag"": 0}]","@海伦Helen [强][强][强]","Text","Jenny 3@ masterqun.com",NULL,NULL,"1524596021",NULL,NULL
"Wilson_netshaker","Iris, NetShaker, Founder","[{""Sex"": 2, ""Uin"": 0, ""City"": """", ""Alias"": """", ""IsOwner"": 0, ""KeyWord"": """", ""SnsFlag"": 49, ""Statues"": 0, ""NickName"": ""Irissssss"", ""OwnerUin"": 0, ""Province"": """", ""UserName"": ""@061efd1171a4ef3d249d5599e5b324b628374c87f4a7842159ce8f8558940aad"", ""PYInitial"": ""IRISSSSSS"", ""PYQuanPin"": ""Irissssss"", ""Signature"": ""好友邀请请注明添加理由"", ""UniFriend"": 0, ""AttrStatus"": 101027877, ""ChatRoomId"": 0, ""HeadImgUrl"": ""/cgi-bin/mmwebwx-bin/webwxgeticon?seq=0&username=@061efd1171a4ef3d249d5599e5b324b628374c87f4a7842159ce8f8558940aad&chatroomid=@8607289cd75e59046f495527761625d4&skey="", ""MemberList"": [], ""RemarkName"": """", ""StarFriend"": 0, ""VerifyFlag"": 0, ""ContactFlag"": 0, ""DisplayName"": ""Iris, NetShaker, Founder"", ""MemberCount"": 0, ""MemberStatus"": 0, ""AppAccountFlag"": 0, ""EncryChatRoomId"": ""@8607289cd75e59046f495527761625d4"", ""RemarkPYInitial"": """", ""RemarkPYQuanPin"": """", ""HideInputBarFlag"": 0}]","这个要的有多急","Text","Jenny 3@ masterqun.com",NULL,NULL,"1524596057",NULL,NULL
